event_date,campaign_id,impressions,clicks,spend,purchases,revenue
2026-01-01,CMP001,4651,258,302.74,21,1762.72
2026-01-02,CMP001,4691,299,356.56,23,1797.32
2026-01-03,CMP001,3441,207,242.42,16,1331.66
2026-01-04,CMP001,3730,214,263.16,19,1481.11
2026-01-05,CMP001,4830,299,348.91,25,2143.73
2026-01-06,CMP001,4324,243,299.71,19,1574.16
2026-01-07,CMP001,4832,301,374.87,26,2106.10
2026-01-08,CMP001,4556,288,355.60,25,2065.86
2026-01-09,CMP001,4721,263,310.28,21,1649.64
2026-01-10,CMP001,3453,194,235.33,16,1294.27
2026-01-11,CMP001,3575,205,254.59,17,1414.64
2026-01-12,CMP001,4618,263,307.10,23,1863.27
2026-01-13,CMP001,5029,308,375.06,26,2205.10
2026-01-14,CMP001,4798,275,325.13,21,1682.00
2026-01-15,CMP001,4188,269,318.01,25,2081.86
2026-01-16,CMP001,4387,281,330.86,24,1918.14
2026-01-17,CMP001,3744,216,267.45,19,1542.33
2026-01-18,CMP001,3441,223,258.84,19,1487.44
2026-01-19,CMP001,4078,250,298.13,22,1725.26
2026-01-20,CMP001,4372,283,352.40,24,2039.00
2026-01-21,CMP001,3972,247,297.28,22,1761.94
2026-01-22,CMP001,4652,262,313.24,22,1885.87
2026-01-23,CMP001,4906,283,330.87,24,2049.21
2026-01-24,CMP001,4018,233,282.04,20,1583.07
2026-01-25,CMP001,3922,237,285.09,21,1636.00
2026-01-26,CMP001,4310,239,295.49,22,1863.83
2026-01-27,CMP001,4292,239,297.05,22,1729.25
2026-01-28,CMP001,4485,251,307.61,22,1736.96
2026-01-29,CMP001,4473,271,334.89,22,1790.13
2026-01-30,CMP001,4189,253,296.34,22,1770.03
2026-01-31,CMP001,4129,254,305.23,21,1656.74
2026-02-01,CMP001,3446,201,235.99,17,1355.00
2026-02-02,CMP001,4037,247,306.01,20,1698.98
2026-02-03,CMP001,4037,232,272.04,20,1579.70
2026-02-04,CMP001,4970,302,370.65,26,2197.56
2026-02-05,CMP001,4166,234,279.08,20,1634.59
2026-02-06,CMP001,4747,293,340.30,27,2192.44
2026-02-07,CMP001,3548,225,263.31,18,1468.42
2026-02-08,CMP001,3621,210,260.53,17,1386.07
2026-02-09,CMP001,4890,296,369.39,23,1949.37
2026-02-10,CMP001,5007,321,374.92,29,2374.59
2026-02-11,CMP001,4191,247,293.53,19,1633.61
2026-02-12,CMP001,4246,266,317.23,22,1886.50
2026-02-13,CMP001,5035,305,355.89,27,2168.99
2026-02-14,CMP001,4105,249,304.73,21,1645.74
2026-02-15,CMP001,3765,226,263.77,21,1801.35
2026-02-16,CMP001,4047,231,281.09,20,1596.57
2026-02-17,CMP001,4089,261,315.57,21,1742.56
2026-02-18,CMP001,4413,268,332.78,23,1830.22
2026-02-19,CMP001,4733,272,330.88,23,1848.28
2026-02-20,CMP001,4301,268,320.53,21,1807.83
2026-02-21,CMP001,4129,231,271.99,19,1625.50
2026-02-22,CMP001,4027,256,298.79,21,1779.47
2026-02-23,CMP001,4720,288,349.86,27,2105.03
2026-02-24,CMP001,4842,281,349.04,25,1975.03
2026-02-25,CMP001,4085,230,270.97,20,1657.19
2026-02-26,CMP001,4735,271,319.06,24,1965.74
2026-02-27,CMP001,4938,313,373.30,24,1924.05
2026-02-28,CMP001,3250,203,238.96,18,1511.61
2026-01-01,CMP002,8099,360,730.31,16,1495.17
2026-01-02,CMP002,8776,398,841.32,21,1823.49
2026-01-03,CMP002,5973,261,561.08,14,1305.45
2026-01-04,CMP002,7188,308,626.25,15,1387.82
2026-01-05,CMP002,8738,387,790.24,20,1877.38
2026-01-06,CMP002,8700,421,911.08,22,1885.91
2026-01-07,CMP002,8454,370,795.79,20,1865.53
2026-01-08,CMP002,8597,372,756.71,20,1866.99
2026-01-09,CMP002,8688,374,782.91,20,1764.93
2026-01-10,CMP002,7025,302,618.63,14,1238.36
2026-01-11,CMP002,7134,345,732.70,16,1425.55
2026-01-12,CMP002,8924,404,822.29,22,2073.14
2026-01-13,CMP002,7383,357,726.21,17,1519.99
2026-01-14,CMP002,8439,368,773.51,19,1690.37
2026-01-15,CMP002,8147,352,709.73,18,1688.94
2026-01-16,CMP002,8074,376,800.38,20,1775.56
2026-01-17,CMP002,5883,272,562.70,13,1210.72
2026-01-18,CMP002,6906,301,627.47,14,1247.70
2026-01-19,CMP002,7608,322,700.02,16,1465.53
2026-01-20,CMP002,8773,402,847.44,19,1624.57
2026-01-21,CMP002,7591,338,718.58,17,1524.64
2026-01-22,CMP002,7889,339,734.75,17,1575.29
2026-01-23,CMP002,7366,309,655.80,15,1327.75
